X_12,Y_12,C_12,X_13,Y_13,C_13,X_14,Y_14,C_14
1095.36,394.899,0.192008,1342.64,436.163,0.200531,1642.81,477.318,0.280549
1092.45,394.936,0.183565,1336.74,436.111,0.189347,1645.77,477.306,0.300837
1092.43,392.012,0.196641,1336.74,433.184,0.262033,1639.91,471.434,0.324531
1098.32,394.93,0.199485,1360.27,444.919,0.159386,1633.93,474.376,0.323907
1101.28,391.959,0.180903,1345.56,453.776,0.183747,1619.32,483.206,0.382595
1098.35,394.94,0.209997,1319.07,453.794,0.0991915,1436.81,441.989,0.119516
1086.56,394.94,0.208902,1339.67,444.95,0.147461,1522.18,483.226,0.0540765
1116.01,392.001,0.18487,1539.86,530.197,0.395505,1704.68,924.676,0.406905
1113.06,389.067,0.172564,1548.61,530.269,0.580849,1616.42,939.404,0.295905
1113.05,391.96,0.176522,1542.74,539.07,0.550025,1542.7,948.261,0.312936
1113.04,391.947,0.170407,1542.79,536.233,0.615493,1472.09,954.168,0.274321
1115.97,388.99,0.19896,1539.74,536.18,0.440436,1422.18,930.594,0.275022
1113.06,389.024,0.163138,1536.91,536.239,0.460774,1439.77,836.401,0.105836
1101.27,392.007,0.16048,1539.75,530.336,0.645516,1351.55,904.037,0.214079
1113.07,397.811,0.173989,1539.75,530.2,0.62025,1342.6,904.044,0.145093
1118.96,392.005,0.15445,1539.82,527.418,0.636309,1351.33,907.007,0.0610572
1116.02,391.942,0.176581,1539.76,527.399,0.597689,1377.83,912.925,0.352378
1113.06,397.811,0.167106,1539.86,530.285,0.430414,1442.69,839.396,0.147049
1107.18,394.872,0.156654,1536.88,530.349,0.287666,1445.69,954.065,0.149341
1115.99,394.882,0.190427,1539.78,533.298,0.431206,1492.79,951.167,0.109613
1115.98,391.924,0.174954,1539.86,539.097,0.460653,1557.41,974.748,0.0867058
1113.03,391.945,0.163163,1539.89,542.046,0.411383,1601.66,951.176,0.233856
1121.86,394.873,0.164065,1542.79,539.154,0.499487,1651.67,951.178,0.289031
1116,394.884,0.156457,1522.13,530.308,0.319026,1610.37,695.071,0.126555
1118.92,391.957,0.163162,1536.87,527.432,0.480048,1795.83,915.886,0.185953
1118.96,389.046,0.157325,1542.81,527.407,0.57543,1825.38,865.835,0.102497
1118.96,400.754,0.188259,1536.89,527.3,0.427339,1636.94,715.675,0.0837272
1124.82,394.936,0.17811,1539.82,527.258,0.525297,1848.8,859.915,0.0564624
1118.95,391.962,0.170822,1536.84,527.264,0.396834,1634.05,712.759,0.0875349
